               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.014237,           0.0062755,                   0,             0.89415,              0.7478,             0.80276,             0.51511,            0.037044,            0.038528,                   0,             0.00697,             0.00697,             0.00697
                 103,            0.014503,            0.006361,                   0,             0.89082,             0.74615,              0.8022,             0.51841,            0.036971,            0.038399,                   0,             0.00694,             0.00694,             0.00694
                 104,            0.014358,           0.0064605,                   0,               0.891,             0.74835,             0.79546,             0.51024,            0.036747,            0.041502,                   0,             0.00691,             0.00691,             0.00691
                 105,            0.014519,           0.0064615,                   0,             0.86931,             0.71793,             0.75451,             0.47538,            0.039143,            0.044955,                   0,             0.00688,             0.00688,             0.00688
                 106,            0.014333,           0.0062716,                   0,             0.88406,             0.73073,             0.79185,             0.51668,            0.036993,            0.039917,                   0,             0.00685,             0.00685,             0.00685
                 107,            0.014358,           0.0064471,                   0,             0.88303,             0.76488,             0.81834,             0.52982,            0.036409,            0.037886,                   0,             0.00682,             0.00682,             0.00682
                 108,             0.01481,            0.006548,                   0,             0.89617,             0.74945,             0.82442,             0.53459,            0.036256,            0.038096,                   0,             0.00679,             0.00679,             0.00679
                 109,            0.013925,            0.006089,                   0,              0.9042,             0.75385,             0.81737,             0.52856,            0.036721,            0.038919,                   0,             0.00676,             0.00676,             0.00676
                 110,            0.014423,            0.006214,                   0,             0.89849,             0.75548,             0.82106,             0.53327,            0.036001,             0.03867,                   0,             0.00673,             0.00673,             0.00673
                 111,            0.014397,           0.0065001,                   0,              0.7649,             0.41079,             0.45314,             0.24399,            0.059545,            0.061099,                   0,              0.0067,              0.0067,              0.0067
                 112,            0.013888,            0.006118,                   0,             0.89437,             0.73201,             0.77897,             0.50962,            0.037868,            0.042258,                   0,             0.00667,             0.00667,             0.00667
                 113,            0.013547,           0.0059383,                   0,             0.89432,             0.75165,             0.81159,             0.52694,            0.036624,            0.039297,                   0,             0.00664,             0.00664,             0.00664
                 114,            0.014162,           0.0061809,                   0,             0.90441,             0.73073,             0.80571,               0.524,            0.036788,            0.039079,                   0,             0.00661,             0.00661,             0.00661
                 115,            0.013426,           0.0058713,                   0,             0.87926,             0.76377,             0.81861,             0.53233,             0.03569,            0.038825,                   0,             0.00658,             0.00658,             0.00658
                 116,            0.013369,           0.0058234,                   0,             0.87529,             0.72577,             0.78208,             0.49783,            0.038707,            0.040736,                   0,             0.00655,             0.00655,             0.00655
                 117,            0.013803,           0.0061138,                   0,             0.85312,             0.65245,             0.72046,             0.42439,            0.045211,            0.045475,                   0,             0.00652,             0.00652,             0.00652
                 118,            0.013402,           0.0059592,                   0,             0.90038,             0.73073,             0.80635,             0.52162,            0.037462,            0.039756,                   0,             0.00649,             0.00649,             0.00649
                 119,            0.013355,           0.0059907,                   0,             0.88614,             0.74997,             0.81472,             0.52456,            0.036585,            0.039329,                   0,             0.00646,             0.00646,             0.00646
                 120,            0.014122,           0.0061497,                   0,             0.89303,             0.73789,             0.79578,             0.50978,            0.038306,            0.040226,                   0,             0.00643,             0.00643,             0.00643
                 121,            0.013273,           0.0058485,                   0,             0.86388,             0.76982,             0.81945,             0.52313,            0.036414,            0.039171,                   0,              0.0064,              0.0064,              0.0064
                 122,            0.013096,           0.0059568,                   0,              0.8788,             0.73466,             0.80274,             0.51259,            0.038377,            0.040288,                   0,             0.00637,             0.00637,             0.00637
                 123,            0.013335,           0.0057779,                   0,              0.8214,             0.69137,             0.73668,              0.4454,            0.043071,            0.045468,                   0,             0.00634,             0.00634,             0.00634
                 124,            0.013035,           0.0056641,                   0,             0.90177,             0.73458,             0.79909,             0.51445,            0.037611,            0.040945,                   0,             0.00631,             0.00631,             0.00631
                 125,            0.013114,            0.005711,                   0,              0.8841,             0.75606,             0.82015,             0.53238,            0.036072,            0.039719,                   0,             0.00628,             0.00628,             0.00628
                 126,            0.013116,           0.0056623,                   0,             0.86623,             0.73513,             0.79295,             0.50835,            0.037605,            0.040437,                   0,             0.00625,             0.00625,             0.00625
                 127,             0.01294,           0.0056171,                   0,             0.85546,             0.68282,             0.75417,             0.45921,            0.041215,            0.044208,                   0,             0.00622,             0.00622,             0.00622
                 128,            0.012323,           0.0054771,                   0,             0.87213,             0.73615,             0.80142,             0.51864,            0.037455,            0.040928,                   0,             0.00619,             0.00619,             0.00619
                 129,            0.013214,           0.0057625,                   0,             0.86516,             0.74504,             0.80156,              0.5185,            0.036916,            0.040194,                   0,             0.00616,             0.00616,             0.00616
                 130,            0.012413,           0.0054307,                   0,             0.86168,             0.74394,             0.80386,             0.51764,            0.036867,            0.040071,                   0,             0.00613,             0.00613,             0.00613
                 131,            0.012494,           0.0054238,                   0,             0.89559,              0.7522,             0.81222,             0.52725,            0.036238,            0.040099,                   0,              0.0061,              0.0061,              0.0061
                 132,            0.012498,           0.0054314,                   0,             0.89106,             0.75716,             0.82129,             0.53797,            0.036064,            0.039579,                   0,             0.00607,             0.00607,             0.00607
                 133,            0.012651,           0.0055333,                   0,              0.8743,             0.74687,              0.8028,             0.50856,            0.037957,            0.040639,                   0,             0.00604,             0.00604,             0.00604
                 134,            0.012668,           0.0056233,                   0,             0.87037,             0.75052,             0.80381,             0.51893,            0.037658,            0.040986,                   0,             0.00601,             0.00601,             0.00601
                 135,            0.012749,           0.0056919,                   0,              0.9006,             0.75936,             0.82634,             0.53898,            0.035775,            0.038901,                   0,             0.00598,             0.00598,             0.00598
                 136,            0.012371,           0.0053582,                   0,             0.89703,             0.75496,             0.82755,             0.54037,            0.035867,            0.039472,                   0,             0.00595,             0.00595,             0.00595
                 137,            0.012609,           0.0056812,                   0,             0.87728,             0.75973,             0.80265,             0.52626,            0.036231,            0.040897,                   0,             0.00592,             0.00592,             0.00592
                 138,            0.012053,           0.0052405,                   0,             0.89359,             0.76156,             0.79782,             0.52446,            0.035857,            0.041985,                   0,             0.00589,             0.00589,             0.00589
                 139,            0.012163,           0.0052091,                   0,             0.91418,                0.75,             0.80282,             0.52366,            0.036263,            0.041462,                   0,             0.00586,             0.00586,             0.00586
                 140,            0.011656,            0.005139,                   0,             0.89946,              0.7522,             0.81194,             0.53133,            0.036374,            0.040856,                   0,             0.00583,             0.00583,             0.00583
                 141,            0.012363,           0.0053775,                   0,             0.90769,             0.74722,             0.80344,             0.52445,            0.036414,            0.041738,                   0,              0.0058,              0.0058,              0.0058
                 142,            0.011885,            0.005094,                   0,              0.8974,             0.75133,             0.80845,             0.52496,            0.036485,            0.041189,                   0,             0.00577,             0.00577,             0.00577
                 143,            0.011827,           0.0051725,                   0,              0.8833,             0.75855,             0.80943,             0.52287,            0.036404,            0.040805,                   0,             0.00574,             0.00574,             0.00574
                 144,            0.012008,           0.0052212,                   0,             0.88576,             0.75567,              0.8113,             0.52739,            0.036096,            0.040799,                   0,             0.00571,             0.00571,             0.00571
                 145,            0.011949,           0.0051801,                   0,             0.89738,             0.75602,             0.81865,             0.53368,            0.036224,            0.040104,                   0,             0.00568,             0.00568,             0.00568
                 146,             0.01162,           0.0051803,                   0,              0.8892,             0.76927,             0.81976,             0.53695,            0.036325,            0.040428,                   0,             0.00565,             0.00565,             0.00565
                 147,            0.011547,           0.0049723,                   0,             0.90092,             0.76609,             0.82955,             0.54219,            0.035977,            0.039728,                   0,             0.00562,             0.00562,             0.00562
                 148,            0.012108,           0.0052635,                   0,             0.91655,             0.74992,             0.81894,             0.54023,            0.036044,            0.040502,                   0,             0.00559,             0.00559,             0.00559
                 149,            0.011303,           0.0050297,                   0,             0.90103,              0.7467,             0.81655,             0.53741,            0.036814,            0.040871,                   0,             0.00556,             0.00556,             0.00556
                 150,            0.011446,           0.0051115,                   0,             0.88704,             0.74559,             0.77594,             0.50406,            0.036409,            0.047632,                   0,             0.00553,             0.00553,             0.00553
                 151,              0.0114,           0.0050536,                   0,             0.89863,             0.74684,             0.81716,             0.53205,             0.03658,            0.040981,                   0,              0.0055,              0.0055,              0.0055
                 152,            0.011295,           0.0049649,                   0,             0.88822,             0.75551,             0.80972,             0.52516,            0.035829,            0.040857,                   0,             0.00547,             0.00547,             0.00547
                 153,             0.01165,           0.0051278,                   0,             0.90845,              0.7431,             0.81662,             0.53433,            0.036395,             0.04063,                   0,             0.00544,             0.00544,             0.00544
                 154,            0.010787,           0.0047238,                   0,             0.88503,             0.74064,             0.79037,             0.50705,            0.037359,            0.042264,                   0,             0.00541,             0.00541,             0.00541
                 155,            0.011225,           0.0048761,                   0,             0.89539,             0.75881,             0.81967,             0.53282,            0.035838,            0.040696,                   0,             0.00538,             0.00538,             0.00538
                 156,            0.011322,           0.0049159,                   0,             0.87815,              0.7342,             0.79582,             0.51637,            0.036842,            0.041729,                   0,             0.00535,             0.00535,             0.00535
