               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.022563,            0.018746,           0.0045168,             0.67642,              0.5811,             0.62666,             0.41599,             0.04472,            0.087182,            0.010926,             0.00727,             0.00727,             0.00727
                  93,            0.023048,            0.019394,           0.0046335,             0.54293,             0.41848,             0.41862,             0.25448,            0.054937,             0.10063,            0.014624,             0.00724,             0.00724,             0.00724
                  94,            0.022558,            0.018903,           0.0044986,              0.5259,             0.31087,             0.33884,             0.20006,            0.055274,             0.10907,            0.016892,             0.00721,             0.00721,             0.00721
                  95,            0.022474,            0.018636,           0.0043644,             0.62263,             0.58559,             0.59382,              0.3858,            0.046266,            0.081827,            0.011549,             0.00718,             0.00718,             0.00718
                  96,            0.022695,            0.019008,           0.0043955,             0.33767,             0.25774,             0.25147,             0.14467,            0.060403,             0.12416,             0.01726,             0.00715,             0.00715,             0.00715
                  97,            0.021872,            0.018506,           0.0043575,             0.57727,             0.52644,             0.55434,             0.34497,             0.04734,             0.08726,            0.012767,             0.00712,             0.00712,             0.00712
                  98,            0.022038,            0.018832,           0.0043637,             0.52525,             0.39275,             0.40847,             0.25755,            0.051396,             0.10339,            0.013788,             0.00709,             0.00709,             0.00709
                  99,            0.021401,            0.017983,           0.0041999,             0.70993,             0.57751,             0.61474,             0.40278,             0.04703,             0.08475,            0.011521,             0.00706,             0.00706,             0.00706
                 100,            0.021765,            0.018072,            0.004212,             0.52925,             0.38262,             0.39696,             0.24532,            0.052787,             0.10491,            0.016348,             0.00703,             0.00703,             0.00703
                 101,            0.021579,            0.018166,           0.0041212,             0.74439,             0.66591,             0.70162,             0.48712,            0.042561,            0.081125,           0.0098686,               0.007,               0.007,               0.007
                 102,            0.021589,            0.017798,           0.0041078,             0.84401,             0.72478,             0.78212,             0.55283,            0.039931,            0.074969,           0.0086615,             0.00697,             0.00697,             0.00697
                 103,            0.020996,              0.0174,           0.0040487,             0.79839,             0.66536,              0.7381,              0.5134,            0.041429,            0.079592,           0.0094288,             0.00694,             0.00694,             0.00694
                 104,            0.020957,            0.017792,           0.0040836,             0.77727,             0.63439,             0.70392,             0.48018,            0.042322,            0.080926,           0.0099078,             0.00691,             0.00691,             0.00691
                 105,            0.021073,            0.017877,           0.0039339,             0.63111,             0.53199,             0.58544,             0.37191,            0.048828,            0.090151,            0.012559,             0.00688,             0.00688,             0.00688
                 106,             0.02111,            0.017581,           0.0039268,             0.82472,             0.67546,             0.74297,             0.52053,            0.041396,            0.078091,           0.0091585,             0.00685,             0.00685,             0.00685
                 107,            0.021458,            0.018313,           0.0039514,             0.76449,             0.66401,             0.71676,             0.48851,            0.042401,            0.079072,            0.010109,             0.00682,             0.00682,             0.00682
