               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 150,            0.018446,             0.01565,           0.0024367,             0.78683,             0.63689,             0.70188,              0.4734,            0.043938,            0.087038,           0.0098532,             0.00553,             0.00553,             0.00553
                 151,            0.017956,            0.015069,           0.0024472,             0.87971,             0.73612,             0.80865,             0.58535,            0.039076,            0.078389,           0.0075391,              0.0055,              0.0055,              0.0055
                 152,            0.017465,            0.014619,           0.0023716,              0.8638,             0.62752,             0.72777,              0.5033,            0.042611,            0.079807,           0.0095802,             0.00547,             0.00547,             0.00547
                 153,            0.017858,            0.014866,           0.0024045,             0.88833,             0.71201,             0.79258,              0.5764,             0.03989,            0.080697,           0.0079112,             0.00544,             0.00544,             0.00544
                 154,            0.017351,             0.01423,           0.0023178,             0.74485,             0.51546,             0.58487,             0.37879,            0.046243,            0.089178,            0.012634,             0.00541,             0.00541,             0.00541
                 155,            0.017514,            0.014603,           0.0023323,             0.88768,             0.73316,             0.81229,             0.58331,             0.03886,            0.076521,           0.0074431,             0.00538,             0.00538,             0.00538
                 156,              0.0175,            0.014553,           0.0023145,              0.8261,             0.69463,             0.75699,             0.53438,             0.04112,            0.085374,           0.0086752,             0.00535,             0.00535,             0.00535
                 157,            0.017213,             0.01416,            0.002292,             0.87495,             0.71835,              0.7967,             0.58018,            0.039578,            0.080829,           0.0077536,             0.00532,             0.00532,             0.00532
                 158,            0.016953,            0.014022,           0.0022827,             0.86948,             0.71007,             0.79235,             0.56059,            0.040155,            0.080842,           0.0080204,             0.00529,             0.00529,             0.00529
                 159,            0.017349,            0.014445,           0.0022828,              0.8453,             0.61619,             0.70464,             0.47723,            0.043905,            0.088079,            0.009829,             0.00526,             0.00526,             0.00526
                 160,            0.017226,            0.014304,            0.002239,             0.65638,             0.51611,              0.5456,             0.35676,            0.048539,            0.095742,            0.013373,             0.00523,             0.00523,             0.00523
                 161,            0.017002,            0.014047,           0.0022272,             0.89981,             0.73004,             0.80834,              0.5921,            0.038668,            0.078915,           0.0073632,              0.0052,              0.0052,              0.0052
